Firm Name,CRD Number,SEC Registration Type,Custodian,Has Proprietary Funds,ADV URL,IAPD Profile URL,FilingDate,Notes
"COOKE WEALTH MANAGEMENT, LLC",127309,SEC,,,,,2/25/2025,
"GPWM FUND MANAGER, LLC",311866,SEC,,,,,4/3/2025,
LONE VIEW CAPITAL,321209,SEC,,,,,4/3/2025,
CROSS FINANCIAL ADVISORS,287686,SEC,,,,,4/9/2025,
3(38) INVESTMENT FIDUCIARIES,298053,SEC,,,,,4/10/2025,
"DIAZO, LLC",324419,SEC,,,,,3/28/2025,
MG&A WEALTH,284866,SEC,,,,,3/28/2025,
"CAMBRIDGE INVESTMENT RESEARCH ADVISORS, INC.",134139,SEC,,,,,3/28/2025,
WOLF POINT ASSET MANAGEMENT LP,173823,SEC,,,,,3/28/2025,
BIRKS FINANCIAL CORP.,118623,SEC,,,,,3/28/2025,
"COOKE WEALTH MANAGEMENT, LLC",127309,SEC,,,,,2/25/2025,
"GPWM FUND MANAGER, LLC",311866,SEC,,,,,4/3/2025,
LONE VIEW CAPITAL,321209,SEC,,,,,4/3/2025,
CROSS FINANCIAL ADVISORS,287686,SEC,,,,,4/9/2025,
3(38) INVESTMENT FIDUCIARIES,298053,SEC,,,,,4/10/2025,
"DIAZO, LLC",324419,SEC,,,,,3/28/2025,
MG&A WEALTH,284866,SEC,,,,,3/28/2025,
"CAMBRIDGE INVESTMENT RESEARCH ADVISORS, INC.",134139,SEC,,,,,3/28/2025,
WOLF POINT ASSET MANAGEMENT LP,173823,SEC,,,,,3/28/2025,
BIRKS FINANCIAL CORP.,118623,SEC,,,,,3/28/2025,
"PROMETHOS CAPITAL, LLC",300915,SEC,,,,,3/28/2025,
"MERIT CAPITAL PARTNERS IV, L.L.C.",156890,SEC,,,,,3/28/2025,
ALIYA CAPITAL PARTNERS LLC,305988,SEC,,,,,3/28/2025,
ENDEAVOUR CAPITAL ADVISORS INC.,137689,SEC,,,,,3/28/2025,
"PRIVATE PORTFOLIO PARTNERS, LLC",165616,SEC,,,,,3/28/2025,
OMNIMED CAPITAL LLC,326628,SEC,,,,,3/28/2025,
NATIONAL VENTURE DEVELOPMENT,162019,SEC,,,,,3/28/2025,
"DRAPERDRAGON MANAGEMENT, LLC",329183,SEC,,,,,3/28/2025,
AEGIS FINANCIAL,305030,SEC,,,,,4/9/2025,
"SOUTH SHORE CAPITAL ADVISORS, LLC",142915,SEC,,,,,4/10/2025,
RUTH ASSET MANAGEMENT CO LLC,163970,SEC,,,,,4/10/2025,
"EIGHTFOLD REAL ESTATE CAPITAL, L.P.",163086,SEC,,,,,4/10/2025,
MINERVA ADVISORS LLC,161408,SEC,,,,,3/28/2025,
REALTERM,322689,SEC,,,,,3/28/2025,
"PHARO MANAGEMENT, INC.",141216,SEC,,,,,3/28/2025,
SAROFIM TRUST CO,106590,SEC,,,,,3/28/2025,
